日期,假期长度,第几天,假期类型
2018-01-01,3,3,元旦
2018-02-11,0,0,调休
2018-02-15,7,1,春节
2018-02-16,7,2,春节
2018-02-17,7,3,春节
2018-02-18,7,4,春节
2018-02-19,7,5,春节
2018-02-20,7,6,春节
2018-02-21,7,7,春节
2018-02-24,0,0,调休
2018-04-05,3,1,清明
2018-04-06,3,2,清明
2018-04-07,3,3,清明
2018-04-08,0,0,调休
2018-04-28,0,0,调休
2018-04-29,3,1,五一
2018-04-30,3,2,五一
2018-05-01,3,3,五一
2018-06-16,3,1,端午
2018-06-17,3,2,端午
2018-06-18,3,3,端午
2018-09-22,3,1,中秋
2018-09-23,3,2,中秋
2018-09-24,3,3,中秋
2018-09-29,0,0,调休
2018-09-30,0,0,调休
2018-10-01,7,1,国庆
2018-10-02,7,2,国庆
2018-10-03,7,3,国庆
2018-10-04,7,4,国庆
2018-10-05,7,5,国庆
2018-10-06,7,6,国庆
2018-10-07,7,7,国庆
2018-12-29,0,0,调休
2018-12-30,3,1,元旦
2018-12-31,3,2,元旦
2019-01-01,3,3,元旦
2019-02-02,0,0,调休
2019-02-03,0,0,调休
2019-02-04,7,1,春节
2019-02-05,7,2,春节
2019-02-06,7,3,春节
2019-02-07,7,4,春节
2019-02-08,7,5,春节
2019-02-09,7,6,春节
2019-02-10,7,7,春节
2019-04-05,3,1,清明
2019-04-06,3,2,清明
2019-04-07,3,3,清明
2019-04-28,0,0,调休
2019-05-01,4,1,五一
2019-05-02,4,2,五一
2019-05-03,4,3,五一
2019-05-04,4,4,五一
2019-05-05,0,0,调休
2019-06-07,3,1,端午
2019-06-08,3,2,端午
2019-06-09,3,3,端午
2019-09-13,3,1,中秋
2019-09-14,3,2,中秋
2019-09-15,3,3,中秋
2019-09-29,0,0,调休
2019-10-01,7,1,国庆
2019-10-02,7,2,国庆
2019-10-03,7,3,国庆
2019-10-04,7,4,国庆
2019-10-05,7,5,国庆
2019-10-06,7,6,国庆
2019-10-07,7,7,国庆
2019-10-12,0,0,调休
2020-01-01,1,1,元旦
2020-01-19,0,0,调休
2020-01-24,7,1,春节
2020-01-25,7,2,春节
2020-01-26,7,3,春节
2020-01-27,7,4,春节
2020-01-28,7,5,春节
2020-01-29,7,6,春节
2020-01-30,7,7,春节
2020-02-01,0,0,调休
2020-04-04,3,1,清明
2020-04-05,3,2,清明
2020-04-06,3,3,清明
2020-04-26,0,0,调休
2020-05-01,5,1,五一
2020-05-02,5,2,五一
2020-05-03,5,3,五一
2020-05-04,5,4,五一
2020-05-05,5,5,五一
2020-05-09,0,0,调休
2020-06-25,3,1,端午
2020-06-26,3,2,端午
2020-06-27,3,3,端午
2020-06-28,0,0,调休
2020-09-27,0,0,调休
2020-10-01,8,1,国庆
2020-10-02,8,2,国庆
2020-10-03,8,3,国庆
2020-10-04,8,4,国庆
2020-10-05,8,5,国庆
2020-10-06,8,6,国庆
2020-10-07,8,7,国庆
2020-10-08,8,8,国庆
2020-10-10,0,0,调休
2021-01-01,3,1,元旦
2021-01-02,3,2,元旦
2021-01-03,3,3,元旦
2021-02-07,0,0,调休
2021-02-11,7,1,春节
2021-02-12,7,2,春节
2021-02-13,7,3,春节
2021-02-14,7,4,春节
2021-02-15,7,5,春节
2021-02-16,7,6,春节
2021-02-17,7,7,春节
2021-02-20,0,0,调休
2021-04-03,3,1,清明
2021-04-04,3,2,清明
2021-04-05,3,3,清明
2021-04-25,0,0,调休
2021-05-01,5,1,五一
2021-05-02,5,2,五一
2021-05-03,5,3,五一
2021-05-04,5,4,五一
2021-05-05,5,5,五一
2021-05-08,0,0,调休
2021-06-12,3,1,端午
2021-06-13,3,2,端午
2021-06-14,3,3,端午
